2016-12-04 19:16:18,858 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2016-12-04 19:16:18.781000'); args=['contenttypes', u'0001_initial', u'2016-12-04 19:16:18.781000']
2016-12-04 19:16:18,937 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); (params None)
2016-12-04 19:16:19,000 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); args=None
2016-12-04 19:16:19,030 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2016-12-04 19:16:19,092 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2016-12-04 19:16:19,155 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2016-12-04 19:16:19,187 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
2016-12-04 19:16:19,187 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); (params None)
2016-12-04 19:16:19,233 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); args=None
2016-12-04 19:16:19,280 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=[u'auth_group_permissions']
2016-12-04 19:16:19,296 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); (params None)
2016-12-04 19:16:19,358 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); args=None
2016-12-04 19:16:19,405 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=[u'auth_user']
2016-12-04 19:16:19,405 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); (params None)
2016-12-04 19:16:19,467 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); args=None
2016-12-04 19:16:19,500 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.032) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user_groups'; args=[u'auth_user_groups']
2016-12-04 19:16:19,500 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); (params None)
2016-12-04 19:16:19,562 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); args=None
2016-12-04 19:16:19,592 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user_user_permissions'; args=[u'auth_user_user_permissions']
2016-12-04 19:16:19,608 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_51277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
2016-12-04 19:16:19,671 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_51277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
2016-12-04 19:16:19,671 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_permission_417f1b1c` ON `auth_permission` (`content_type_id`); (params [])
2016-12-04 19:16:19,733 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) CREATE INDEX `auth_permission_417f1b1c` ON `auth_permission` (`content_type_id`); args=[]
2016-12-04 19:16:19,733 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_58c48ba9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2016-12-04 19:16:19,796 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_58c48ba9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2016-12-04 19:16:19,812 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_23962d04_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2016-12-04 19:16:19,875 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_23962d04_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
2016-12-04 19:16:19,875 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_group_permissions_0e939a4f` ON `auth_group_permissions` (`group_id`); (params [])
2016-12-04 19:16:19,937 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) CREATE INDEX `auth_group_permissions_0e939a4f` ON `auth_group_permissions` (`group_id`); args=[]
2016-12-04 19:16:19,937 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_group_permissions_8373b171` ON `auth_group_permissions` (`permission_id`); (params [])
2016-12-04 19:16:20,000 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) CREATE INDEX `auth_group_permissions_8373b171` ON `auth_group_permissions` (`permission_id`); args=[]
2016-12-04 19:16:20,015 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_24702650_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2016-12-04 19:16:20,078 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_24702650_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2016-12-04 19:16:20,078 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_30a071c9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2016-12-04 19:16:20,140 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_30a071c9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2016-12-04 19:16:20,140 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_user_groups_e8701ad4` ON `auth_user_groups` (`user_id`); (params [])
2016-12-04 19:16:20,203 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) CREATE INDEX `auth_user_groups_e8701ad4` ON `auth_user_groups` (`user_id`); args=[]
2016-12-04 19:16:20,203 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_user_groups_0e939a4f` ON `auth_user_groups` (`group_id`); (params [])
2016-12-04 19:16:20,265 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.062) CREATE INDEX `auth_user_groups_0e939a4f` ON `auth_user_groups` (`group_id`); args=[]
2016-12-04 19:16:20,265 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_7cd7acb6_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2016-12-04 19:16:20,349 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.069) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_7cd7acb6_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2016-12-04 19:16:20,349 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_perm_permission_id_3d7071f0_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2016-12-04 19:16:20,413 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_perm_permission_id_3d7071f0_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
2016-12-04 19:16:20,413 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_user_user_permissions_e8701ad4` ON `auth_user_user_permissions` (`user_id`); (params [])
2016-12-04 19:16:20,490 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.078) CREATE INDEX `auth_user_user_permissions_e8701ad4` ON `auth_user_user_permissions` (`user_id`); args=[]
2016-12-04 19:16:20,490 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE INDEX `auth_user_user_permissions_8373b171` ON `auth_user_user_permissions` (`permission_id`); (params [])
2016-12-04 19:16:20,569 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.078) CREATE INDEX `auth_user_user_permissions_8373b171` ON `auth_user_user_permissions` (`permission_id`); args=[]
2016-12-04 19:16:20,599 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SHOW FULL TABLES; args=None
2016-12-04 19:16:20,678 [MainThread:13172] [django.db.backends:89] [utils:execute] [DEBUG]- (0.032) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0001_initial', '2016-12-04 19:16:20.600000'); args=['auth', u'0001_initial', u'2016-12-04 19:16:20.600000']
2016-12-04 19:16:20,772 [MainThread:13172] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); (params None)
